site_code,site_name,collection_year,elevation,latitude,longitude,Aridity,Light,plot,block,treatment_name,N,P,Kµ,Rootsgperm2,rootmassfraction
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,62,6,Control,0,0,0,142.069776,0.255811141
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,13,2,P,0,1,0,135.3165373,0.407866744
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,58,6,PK,0,1,1,408.1249449,0.447763207
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,25,3,NP,1,1,0,203.731136,0.287276587
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,33,3,Control,0,0,0,88.00500616,0.175955464
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,30,3,NK,1,0,1,72.69901916,0.0919718
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,32,3,P,0,1,0,257.6213934,0.553582358
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,50,5,NK,1,0,1,90.17951282,0.110186047
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,3,1,NP,1,1,0,194.2661304,0.563962936
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,45,4,N,1,0,0,159.0989903,0.162172319
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,37,4,NK,1,0,1,73.08831294,0.181998107
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,55,5,P,0,1,0,108.148688,0.258791643
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,4,1,NPK,1,1,1,311.699742,0.519499793
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,38,4,NPK,1,1,1,238.6049684,0.473370929
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,20,2,PK,0,1,1,327.4893652,0.513838283
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,24,2,Control,0,0,0,72.23113558,0.369126719
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,40,4,PK,0,1,1,67.22443004,0.115789512
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,35,3,K,0,0,1,289.6911007,0.674655577
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,14,2,NK,1,0,1,89.63976092,0.236429333
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,49,5,Control,0,0,0,76.05302579,0.15796562
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,56,5,N,1,0,0,88.4425246,0.280109639
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,29,3,N,1,0,0,121.6161854,0.22069252
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,44,4,P,0,1,0,101.2738395,0.352350173
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,39,4,K,0,0,1,141.7991133,0.493593536
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,59,6,K,0,0,1,182.8227547,0.810841891
