id,co2,inoc,n.trt,rep,sow_date,rack,germ_date,thin_date,harvest_date,focal.area,tla,focal.biomass,leaf.biomass,chlor.biomass,stem.biomass,root.biomass,nodule.biomass,total.biomass,nod.root.ratio,nmass.focal,nmass.nod,nmass.tl,nmass.tr,nmass.ts,cmass.focal,cmass.nod,cmass.tl,cmass.tr,cmass.ts,chlA.ugml,chlB.ugml,chlA.gml,chlB.gml,chlA.g,chlB.g,chlA.gm2,chlB.gm2,chlA.mmolm2,chlB.mmolm2,chl.mmolm2,chlA.chlB,disk.area,chl.leaf.area,tleaf,anet,anet.growth,gsw,gsw.growth,ci.ca,vcmax25,jmax25,jmax25.vcmax25,rd25,tpu,leaf.d13c,leaf.d15n,ndfa,chi,beta,marea,narea,p.rubisco,p.bioe,p.lightharv,p.photo,p.structure,pnue,pnue.growth,iwue,iwue.growth,stomlim,leaf.totaln,stem.totaln,root.totaln,root.totalc,nod.totaln,nod.totalc,wpn,cbg,ncost,bvr
a_n_35_114,amb,no.inoc,35,114,8/13/22,6t,8/19/22,8/23/22,10/2/22,8.483,76.581,0.041,0.288,0.027,0.261,0.801,0,1.377,0,0.013,NA,0.0382,0.008,0.0054,0.3805,NA,0.3907,0.4018,0.4186,0,0.0806,0,8.06E-08,0,8.06E-07,0,0.0045,0,0.005,0.005,0,1.775,5.893,24.998,3.396,3.396,0.051,0.051,0.72,17.354,35.823,2.064,1.156,NA,-27.87,5.24,54.25,0.6729,140.9347,48.332,0.6264,0.2162,0.0455,0.0031,0.2648,0.1243,5.421607143,5.421607143,66.5882,66.5882,0.2228,0.0119,0.0014,0.0064,0.3218,0,0,0.0197,0.3218,16.3484,0.23
a_n_35_115,amb,no.inoc,35,115,8/13/22,4b,8/18/22,8/23/22,10/2/22,5.061,29.555,0.018,0.068,0.01,0.105,0.185,0,0.368,0,0.0239,NA,0.0278,0.0098,0.0094,0.3865,NA,0.4164,0.351,0.4036,0.0257,0.0978,2.57E-08,9.78E-08,2.57E-07,9.78E-07,0.0021,0.0079,0.0023,0.0088,0.0111,0.263,1.23,4.064,24.99,3.504,3.504,0.057,0.057,0.736,17.087,33.247,1.946,1.023,NA,-28.82,11.33,13.26,0.717,217.4214,35.5661,0.8504,0.1568,0.0311,0.0069,0.1948,0.0598,4.120485714,4.120485714,61.4737,61.4737,0.2068,0.0026,0.001,0.0018,0.0649,0,0,0.0054,0.0649,12.1167,0.061
a_n_35_116,amb,no.inoc,35,116,8/13/22,2t,8/18/22,8/23/22,10/2/22,7.861,63.7,0.025,0.19,0.017,0.234,0.361,0,0.802,0,0.0383,NA,0.0289,0.0113,0.0101,0.4132,NA,0.4083,0.3698,0.3908,0.2594,0.3568,2.59E-07,3.57E-07,2.59E-06,3.57E-06,0.0147,0.0203,0.0165,0.0223,0.0388,0.7271,1.762,5.397,25.021,11.899,11.899,0.213,0.213,0.747,54.64,101.24,1.853,2.094,6.531,-27.74,20.23,0,0.6669,133.1242,31.8026,1.2174,0.3503,0.0661,0.0117,0.4281,0.0357,9.774092857,9.774092857,55.8638,55.8638,0.2225,0.0071,0.0024,0.0041,0.1335,0,0,0.0135,0.1335,9.8666,0.134
a_n_70_117,amb,no.inoc,70,117,8/13/22,1t,8/18/22,8/23/22,10/2/22,13.704,149.106,0.049,0.501,0.032,0.3,0.529,0.06,1.422,0.11342155,0.0348,0.0427,0.0441,0.0121,0.0102,0.4079,0.4535,0.4065,0.4274,0.4016,0.9185,0.3212,9.18E-07,3.21E-07,9.18E-06,3.21E-06,0.0298,0.0104,0.0333,0.0115,0.0448,2.8593,3.084,9.128,27.485,11.366,11.366,0.122,0.122,0.603,64.051,107.676,1.681,2.211,7.652,-27.29,20.53,20.46,0.646,109.6505,35.756,1.2436,0.402,0.0689,0.0134,0.4842,0.0412,9.139642857,9.139642857,93.1639,93.1639,0.3749,0.0249,0.003,0.0064,0.2261,0.0026,0.0272,0.0369,0.2533,6.8583,0.237
a_n_70_118,amb,no.inoc,70,118,8/13/22,5t,8/18/22,8/23/22,10/2/22,18.293,176.226,0.071,0.673,0.026,0.355,0.694,0.113,1.861,0.162824207,0.0482,0.0642,0.0333,0.0118,0.0117,0.4219,0.4559,0.4355,0.4105,0.4118,0.3707,0.2061,3.71E-07,2.06E-07,3.71E-06,2.06E-06,0.0215,0.0119,0.024,0.0132,0.0372,1.7989,1.726,6.417,25.021,18.694,18.694,0.338,0.338,0.737,84.17,144.522,1.717,2.344,8.855,-28.23,11.92,51.46,0.6896,165.476,38.8127,1.8704,0.3512,0.0615,0.0069,0.4196,0.0307,9.99475,9.99475,55.3077,55.3077,0.2356,0.0271,0.0041,0.0082,0.2849,0.0073,0.0515,0.0467,0.3364,7.2061,0.31
a_n_70_119,amb,no.inoc,70,119,8/13/22,3t,8/18/22,8/23/22,10/2/22,10.865,116.176,0.036,0.389,0.025,0.306,0.532,0.062,1.314,0.116541353,0.0286,0.0439,0.0267,0.0097,0.009,0.3929,0.4446,0.4135,0.4078,0.4044,0.2266,0.1395,2.27E-07,1.40E-07,2.27E-06,1.40E-06,0.0093,0.0057,0.0104,0.0063,0.0166,1.6246,2.448,7.553,25,4.112,4.112,0.056,0.056,0.691,18.701,39.027,2.087,0.468,NA,-28.87,25.94,0.97,0.7194,222.6564,33.1339,0.9486,0.1539,0.0327,0.0064,0.193,0.0486,4.3347,4.3347,73.4286,73.4286,0.2505,0.0121,0.0028,0.0052,0.2169,0.0027,0.0276,0.0228,0.2445,10.7319,0.219
a_n_70_120,amb,no.inoc,70,120,8/13/22,5b,8/18/22,8/23/22,10/2/22,9.199,83.158,0.036,0.276,0.026,0.255,0.614,0,1.171,0,0.0343,NA,0.042,0.0093,0.0072,0.4006,NA,0.4002,0.3874,0.4032,0.5588,0.2807,5.59E-07,2.81E-07,5.59E-06,2.81E-06,0.0238,0.012,0.0267,0.0132,0.0399,1.9908,2.345,7.724,25.011,9.351,9.351,0.185,0.185,0.77,43.731,79.066,1.808,2.246,NA,-28.19,26.21,0,0.6878,162.5173,39.1347,1.3415,0.2544,0.0469,0.0126,0.3139,0.0433,6.970364286,6.970364286,50.5459,50.5459,0.1993,0.0137,0.0018,0.0057,0.2379,0,0,0.0213,0.2379,11.1827,0.195
a_n_105_121,amb,no.inoc,105,121,8/13/22,2b,8/18/22,8/23/22,10/2/22,10.828,132.133,0.037,0.45,0.025,0.299,0.354,0,1.128,0,0.0438,NA,0.0296,0.0098,0.0122,0.427,NA,0.4196,0.3825,0.3939,0.7614,0.3353,7.61E-07,3.35E-07,7.61E-06,3.35E-06,0.0314,0.0138,0.0351,0.0152,0.0504,2.2708,2.426,7.649,25.014,13.736,13.736,0.275,0.275,0.766,57.965,110.747,1.911,1.328,7.617,-28.35,29.94,1.59,0.6952,174.7373,34.1707,1.497,0.3022,0.0588,0.0128,0.3738,0.0321,9.175578571,9.175578571,49.9491,49.9491,0.1981,0.016,0.0037,0.0035,0.1354,0,0,0.0232,0.1354,5.8426,0.188
a_n_105_122,amb,no.inoc,105,122,8/13/22,6b,8/18/22,8/23/22,10/2/22,13.644,169.591,0.06,0.69,0.029,0.446,0.881,0.159,2.205,0.180476731,0.0285,0.0404,0.0309,0.0093,0.0105,0.4173,0.4494,0.4095,0.3922,0.4022,0.8365,0.3842,8.37E-07,3.84E-07,8.37E-06,3.84E-06,0.027,0.0124,0.0302,0.0136,0.0438,2.1771,3.104,8.233,25.017,12.58,12.58,0.16,0.16,0.658,67.183,120.412,1.792,2.865,7.342,-27.21,9.56,65.27,0.6423,105.9856,43.9754,1.2542,0.4181,0.0764,0.0159,0.5103,0.0544,10.03047857,10.03047857,78.625,78.625,0.321,0.0239,0.0047,0.0082,0.3455,0.0064,0.0715,0.0432,0.417,9.6561,0.368
a_n_105_123,amb,no.inoc,105,123,8/13/22,5t,8/18/22,8/23/22,10/2/22,14.695,192.886,0.054,0.746,0.072,0.475,0.938,0.061,2.292,0.065031983,0.0376,0.0591,0.0257,0.0094,0.0094,0.4071,0.4446,0.4247,0.4149,0.4095,1.2396,0.4604,1.24E-06,4.60E-07,1.24E-05,4.60E-06,0.0413,0.0153,0.0462,0.0169,0.0631,2.6925,3.005,14.346,25.007,12.973,12.973,0.178,0.178,0.679,63.687,121.005,1.9,2.066,8.036,-27.75,25.48,15.53,0.6673,133.7071,36.7472,1.3799,0.3602,0.0697,0.0122,0.4421,0.0386,9.4017,9.4017,72.882,72.882,0.2877,0.0239,0.0045,0.0088,0.3892,0.0036,0.0271,0.0407,0.4163,10.2191,0.382
